Data,HeliumLevel,BoreTemperature
2022-10-21 05:00:18,91.5,59.7999992370606
2022-10-21 09:40:14,91.5,59.7999992370606
2022-10-21 09:40:24,91.5,59.7999992370606
2022-10-21 12:23:49,91.5,59.7999992370606
2022-10-21 12:24:24,91.5,59.7999992370606
2022-10-22 05:00:19,91.6999969482422,68.0999984741211
2022-10-22 09:23:23,91.6999969482422,68.0999984741211
2022-10-22 09:23:33,91.6999969482422,68.0999984741211
2022-10-22 10:08:28,91.6999969482422,68.0999984741211
2022-10-22 10:09:01,91.6999969482422,68.0999984741211
2022-10-23 05:00:18,91.6999969482422,75.5999984741211
2022-10-23 09:18:40,91.6999969482422,75.5999984741211
2022-10-23 09:18:51,91.6999969482422,75.5999984741211
2022-10-24 09:31:44,91.1999969482422,77.0
2022-10-24 21:11:51,91.1999969482422,77.0
2022-10-24 21:12:27,91.1999969482422,77.0
2022-10-25 05:00:18,90.6999969482422,67.4000015258789
2022-10-25 09:59:37,90.6999969482422,67.4000015258789
